Country,Code,eurs,stmf,who
Albania,ALB,1,NA,NA
Andorra,AND,1,NA,1
Armenia,ARM,1,NA,1
Australia,AUS,NA,1,1
Austria,AUT,1,1,1
Bahamas,BHS,NA,NA,1
Belarus,BLR,NA,NA,1
Belgium,BEL,1,1,NA
Bulgaria,BGR,1,1,1
Canada,CAN,NA,1,1
Chile,CHL,NA,1,1
Croatia,HRV,1,1,1
Cyprus,CYP,1,NA,1
Czechia,CZE,1,1,1
Denmark,DNK,1,1,1
Ecuador,ECU,NA,NA,1
England and Wales,GBRTENW,NA,1,NA
Estonia,EST,1,1,NA
Finland,FIN,1,1,1
France,FRA,1,1,NA
Georgia,GEO,1,NA,1
Germany,DEU,1,1,1
Greece,GRC,1,1,NA
Guatemala,GTM,NA,NA,1
Hungary,HUN,1,1,NA
Iceland,ISL,1,1,NA
Iraq,IRQ,NA,NA,1
Ireland,IRL,NA,NA,1
Israel,ISR,NA,1,NA
Italy,ITA,1,1,1
Japan,JPN,NA,NA,1
Kuwait,KWT,NA,NA,1
Latvia,LVA,1,1,1
Lebanon,LBN,NA,NA,1
Liechtenstein,LIE,1,NA,NA
Lithuania,LTU,1,1,1
Luxembourg,LUX,1,1,NA
Maldives,MDV,NA,NA,1
Malta,MLT,1,NA,NA
Mauritius,MUS,NA,NA,1
Moldova,MDA,NA,NA,1
Montenegro,MNE,1,NA,NA
Netherlands,NLD,1,1,1
New Zealand,NZL,NA,1,1
Northern Ireland,GBR_NIR,NA,1,NA
Norway,NOR,1,1,NA
Oman,OMN,NA,NA,1
Panama,PAN,NA,NA,1
Paraguay,PRY,NA,NA,1
Peru,PER,NA,NA,1
Poland,POL,1,1,1
Portugal,PRT,1,1,NA
Romania,ROU,1,NA,1
Russia,RUS,NA,1,NA
Scotland,GBR_SCO,NA,1,NA
Serbia,SRB,1,NA,NA
Singapore,SGP,NA,NA,1
Slovakia,SVK,1,1,NA
Slovenia,SVN,1,1,NA
South Korea,KOR,NA,1,1
Spain,ESP,1,1,1
Sweden,SWE,1,1,NA
Switzerland,CHE,1,1,1
Taiwan,TWN,NA,1,NA
Ukraine,UKR,NA,NA,1
United Kingdom,GBR,1,NA,NA
Uruguay,URY,NA,NA,1
USA,USA,NA,1,1
Zambia,ZMB,NA,NA,1
